,crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
5159,Maize,Loamy,69,335,27.03,39.53,0.52,0.4,29.01,2.89,31.23,18.59,24.8,3.071,1.051,72.66,0.531,167.33,7,0.548,1,214.9438
9715,Maize,Sandy,18,160,18.67,81.05,2.41,1.22,17.34,2.58,27.83,14.88,22.45,2.0,0.657,67.75,0.595,127.59,3,0.35,0,0.0
3846,Wheat,Silty,96,190,33.81,92.92,6.19,2.9,18.03,2.18,31.17,14.28,24.66,2.225,0.544,83.21,0.987,164.19,8,0.53,0,0.0
6483,Maize,Silty,78,281,36.73,32.76,1.47,0.8,14.36,1.72,33.1,14.9,29.16,2.451,0.952,66.65,0.907,115.41,10,0.443,0,0.0
747,Tomato,Silty,120,87,20.81,70.96,0.23,0.22,15.4,3.01,34.3,16.11,25.75,2.0,0.63,62.03,0.622,123.44,9,0.587,0,0.0
3034,Wheat,Clayey,101,71,28.03,70.53,1.62,0.74,19.76,4.08,42.05,20.93,25.66,2.362,0.45,74.89,0.613,100.1,8,0.34,1,607.9662
347,Wheat,Silty,51,43,18.59,74.07,1.88,1.38,15.82,3.43,32.89,17.61,32.68,2.593,1.039,61.93,0.727,80.31,2,0.365,0,0.0
3351,Rice,Silty,13,161,22.08,52.61,0.08,0.07,7.45,2.51,30.33,12.62,30.33,2.0,0.691,81.73,0.629,96.95,7,0.404,0,0.0
2864,Rice,Silty,34,7,20.3,63.09,0.78,0.35,5.27,2.32,27.78,12.44,24.62,2.0,1.032,61.5,0.722,140.24,9,0.346,0,0.0
2167,Tomato,Silty,47,85,32.72,94.46,5.72,4.53,23.35,4.22,28.12,13.13,26.68,2.628,0.99,71.26,0.452,159.76,3,0.355,0,0.0
6954,Tomato,Loamy,70,263,34.64,53.26,2.45,1.02,10.24,4.76,31.35,19.02,20.78,3.244,0.933,71.14,0.801,105.68,2,0.385,1,488.4718
6209,Wheat,Silty,10,348,34.11,53.57,0.52,0.36,9.73,4.1,33.0,15.85,21.13,2.511,0.53,66.94,1.115,135.76,2,0.31,1,780.504
2777,Tomato,Sandy,120,255,30.65,78.25,8.57,7.84,14.81,0.93,23.75,12.23,18.65,2.684,0.63,87.29,0.399,158.47,6,0.36,1,94.9317
1441,Rice,Silty,37,314,34.03,42.46,12.66,11.29,17.71,1.0,29.88,15.82,19.35,2.259,1.056,87.06,0.935,119.41,3,0.373,1,453.2973
5657,Tomato,Silty,114,57,31.38,33.69,0.46,0.22,20.82,4.11,32.66,17.29,27.67,2.642,0.63,79.6,0.746,102.12,7,0.456,0,0.0
9657,Maize,Loamy,115,133,33.12,88.42,4.08,3.71,21.96,2.52,38.42,17.08,29.42,2.186,0.54,85.74,0.693,149.99,3,0.49,0,0.0
3027,Maize,Sandy,30,38,24.52,57.3,1.67,1.13,5.96,3.18,23.94,8.75,10.83,2.007,0.895,64.54,1.072,123.71,8,0.369,1,894.0067
6117,Tomato,Clayey,116,122,30.53,33.06,1.27,0.7,6.53,4.29,38.16,24.36,32.75,3.446,0.63,88.3,0.625,161.99,10,0.537,0,0.0
2483,Wheat,Clayey,113,109,37.61,45.01,1.52,1.44,7.16,3.49,39.87,19.8,26.28,2.055,0.45,68.15,0.463,94.37,4,0.531,1,370.1504
2882,Maize,Silty,45,59,28.05,94.88,11.7,9.64,16.17,4.98,27.86,12.38,15.32,2.0,1.022,75.01,0.356,114.39,7,0.536,1,234.3933
5561,Wheat,Clayey,100,300,35.9,68.19,2.86,2.45,18.69,4.24,42.58,18.03,36.99,2.805,0.5,73.66,1.145,173.1,3,0.418,0,0.0
763,Rice,Clayey,86,103,24.28,90.49,1.79,1.04,23.64,0.57,40.3,19.01,33.43,2.733,0.918,79.24,0.704,100.97,10,0.597,0,0.0
6481,Maize,Clayey,85,133,32.8,85.53,0.81,0.63,24.9,3.85,37.34,18.69,32.0,2.706,0.875,80.77,1.073,158.74,6,0.555,0,0.0
1616,Tomato,Clayey,79,114,30.77,64.67,2.63,1.26,5.19,1.21,35.96,19.63,35.96,2.441,0.863,62.81,0.65,168.01,9,0.552,0,0.0
1222,Maize,Clayey,59,362,36.91,70.28,1.55,1.49,21.77,3.67,42.56,19.36,25.47,2.337,1.141,86.1,1.183,158.48,5,0.569,1,923.5278
8664,Tomato,Sandy,30,66,27.13,93.99,4.46,4.19,16.53,2.93,24.61,14.5,24.61,2.0,0.862,72.45,0.789,113.34,2,0.42,0,0.0
6221,Maize,Clayey,68,299,37.12,74.62,3.3,2.17,9.94,1.47,36.6,23.19,28.88,3.225,1.062,77.37,0.7,117.87,1,0.564,1,319.6182
1576,Tomato,Loamy,6,77,29.26,41.83,0.54,0.48,13.95,2.59,35.04,18.66,19.44,3.571,0.426,77.17,0.515,153.93,6,0.538,1,400.5198
9391,Tomato,Sandy,46,206,30.53,80.33,4.55,2.56,6.09,2.99,27.88,11.35,23.12,2.0,0.982,61.91,0.401,129.15,6,0.415,0,0.0
6350,Rice,Clayey,23,286,23.09,59.19,2.02,1.66,5.45,2.98,40.75,19.4,24.63,2.281,0.915,68.86,0.777,127.19,2,0.502,1,771.0413
3782,Wheat,Sandy,116,4,36.29,83.39,0.64,0.41,7.3,4.25,22.51,14.72,17.84,2.0,0.45,89.14,0.98,143.25,2,0.47,0,0.0
4374,Tomato,Loamy,79,54,32.5,45.45,1.01,0.42,23.14,1.69,39.73,16.13,36.63,2.283,0.863,74.54,0.617,154.64,10,0.321,0,0.0
708,Wheat,Loamy,4,91,25.68,33.79,1.66,1.14,15.99,0.73,39.28,18.86,25.75,2.0,0.362,68.53,1.001,146.39,7,0.471,1,901.3345
509,Rice,Clayey,91,9,21.8,78.26,2.07,2.0,29.61,0.8,36.41,22.5,28.4,2.649,0.873,66.38,1.15,141.54,4,0.497,1,628.8228
2954,Rice,Silty,46,298,28.97,42.7,1.27,0.91,8.9,0.89,28.7,17.13,27.71,2.0,1.128,61.21,0.742,160.25,2,0.353,0,0.0
7537,Wheat,Loamy,76,249,22.44,70.31,0.41,0.17,21.53,3.12,38.74,17.08,24.97,2.0,0.764,74.8,0.537,81.33,10,0.472,1,416.2585
6338,Rice,Sandy,93,55,21.69,37.75,3.56,3.04,22.13,3.5,27.62,12.49,23.48,3.162,0.855,68.34,0.362,127.03,2,0.381,0,0.0
8922,Tomato,Loamy,4,156,22.31,85.22,3.55,1.84,21.03,3.37,32.44,15.7,23.97,2.665,0.384,77.05,0.599,96.32,5,0.564,1,36.0383
7063,Tomato,Sandy,43,160,36.58,38.96,2.8,1.23,5.9,1.07,21.34,14.51,18.81,2.0,0.96,80.36,0.96,123.01,7,0.568,0,0.0
7162,Tomato,Sandy,93,4,19.94,85.2,0.02,0.01,24.94,1.48,26.3,14.13,26.3,2.0,0.754,61.81,0.656,109.76,1,0.571,0,0.0
7371,Wheat,Sandy,112,311,24.17,46.72,2.98,1.64,14.93,2.97,28.76,11.63,23.19,2.0,0.45,81.88,0.349,139.36,9,0.399,0,0.0
6828,Tomato,Silty,9,189,35.49,72.06,2.14,1.9,28.03,2.45,28.32,17.27,23.1,2.374,0.489,81.77,0.617,161.78,8,0.505,0,0.0
3615,Tomato,Silty,102,199,32.42,69.43,3.53,3.44,20.32,3.31,29.25,14.15,17.47,2.766,0.63,68.45,0.816,147.74,9,0.479,1,501.0038
4656,Tomato,Sandy,59,52,21.64,83.9,0.33,0.15,7.42,3.14,21.25,12.37,17.12,2.0,1.019,87.93,1.181,146.2,2,0.32,1,245.9974
6975,Wheat,Loamy,86,6,32.02,53.72,0.05,0.03,24.64,3.64,37.31,15.76,27.86,2.775,0.654,70.42,0.882,98.48,3,0.544,0,0.0
4350,Wheat,Clayey,84,313,29.09,82.29,0.79,0.37,27.01,4.33,36.38,24.61,36.38,2.49,0.676,78.43,0.97,112.61,4,0.528,0,0.0
711,Rice,Silty,12,274,15.73,90.62,0.21,0.18,11.75,0.78,34.53,14.67,23.79,2.0,0.669,84.19,1.13,147.24,1,0.42,1,526.7548
6478,Maize,Clayey,8,270,21.17,64.58,0.11,0.07,28.87,3.12,40.09,18.96,31.66,3.15,0.459,84.15,0.503,126.25,9,0.459,0,0.0
9129,Wheat,Sandy,54,197,29.71,70.31,1.09,0.91,14.12,2.66,27.67,14.66,23.35,2.0,1.006,86.95,0.556,157.16,1,0.366,1,111.3279
8204,Wheat,Sandy,32,73,33.66,85.08,2.26,1.15,27.64,3.64,21.71,14.45,18.34,2.66,0.906,79.36,0.683,88.9,2,0.431,1,100.2835
9203,Wheat,Silty,16,81,34.92,72.74,3.57,3.4,17.38,2.47,29.63,17.27,22.91,2.396,0.698,76.67,0.307,171.43,4,0.474,1,115.8191
712,Maize,Loamy,2,301,24.97,49.76,0.64,0.33,12.08,1.52,30.31,15.75,27.16,2.0,0.34,60.75,0.795,162.07,10,0.536,0,0.0
9112,Rice,Clayey,61,326,26.12,45.17,1.7,0.78,23.62,4.84,44.97,21.24,41.39,2.648,1.145,87.91,0.987,121.39,9,0.426,0,0.0
1245,Wheat,Loamy,2,186,29.55,38.23,5.19,5.01,28.72,4.75,34.83,19.95,27.93,2.871,0.306,60.71,0.681,178.21,8,0.4,0,0.0
9785,Wheat,Sandy,59,1,33.77,59.43,1.92,1.15,5.09,3.5,21.74,14.71,18.52,2.001,0.951,80.0,0.745,88.25,2,0.461,1,107.2616
6848,Tomato,Sandy,79,287,28.51,70.68,6.68,5.86,6.43,1.44,29.84,8.71,14.38,2.0,0.863,64.65,0.751,101.04,7,0.39,1,814.2937
5133,Rice,Silty,117,18,35.56,70.8,1.72,1.55,19.44,4.85,30.59,12.64,20.91,3.522,0.63,79.94,1.07,94.14,1,0.475,1,547.1476
715,Wheat,Loamy,10,324,25.58,45.98,7.5,5.92,17.42,4.68,36.49,15.16,22.62,2.792,0.53,85.97,1.183,148.28,1,0.446,1,761.3778
3463,Wheat,Sandy,104,212,15.53,94.44,6.2,5.25,20.25,3.66,26.0,9.58,20.88,2.202,0.45,83.84,0.786,113.27,2,0.503,0,0.0
4394,Wheat,Sandy,87,24,23.06,47.45,7.17,6.48,23.48,4.73,29.49,12.99,19.26,2.345,0.643,66.86,0.798,164.15,7,0.453,1,492.0974
4568,Wheat,Sandy,59,289,27.93,70.26,1.48,1.48,8.19,0.63,21.87,14.85,18.8,2.0,0.951,64.22,1.096,88.99,5,0.503,0,0.0
8803,Rice,Sandy,106,208,37.45,59.69,2.52,1.38,24.66,0.94,20.64,13.36,17.65,3.188,0.736,71.85,0.392,115.87,10,0.52,0,0.0
8489,Wheat,Clayey,68,302,32.05,34.1,1.41,0.62,9.43,4.2,35.23,23.12,28.27,2.256,0.852,78.54,1.163,157.99,10,0.597,1,375.2715
7701,Wheat,Loamy,64,348,17.88,56.04,1.3,0.88,11.39,4.41,34.21,17.12,29.24,2.0,0.896,65.9,1.003,110.95,4,0.477,0,0.0
212,Maize,Silty,78,303,35.81,92.91,12.51,7.22,24.79,2.34,32.76,12.27,20.86,2.567,0.952,84.42,0.585,175.53,7,0.566,1,383.7722
9767,Tomato,Silty,57,126,31.06,33.99,5.27,3.08,25.42,1.75,30.57,16.18,25.71,2.428,1.034,72.65,0.587,129.75,5,0.411,0,0.0
6838,Rice,Sandy,63,232,19.81,71.93,3.2,1.62,20.18,3.12,27.59,10.51,17.08,2.082,1.127,75.13,0.928,156.44,4,0.595,1,472.8217
1010,Maize,Loamy,17,337,33.04,50.48,3.84,2.44,12.55,1.77,32.29,17.1,24.56,2.513,0.637,74.67,0.375,148.68,9,0.312,1,167.7191
323,Rice,Sandy,94,263,23.43,82.1,6.04,5.49,5.53,0.77,29.03,8.89,17.89,2.182,0.845,80.64,0.554,160.54,2,0.479,1,318.5607
5396,Wheat,Silty,115,191,29.92,35.47,5.12,3.56,27.45,1.34,31.5,16.81,19.64,3.867,0.45,79.6,0.605,88.48,2,0.576,1,330.3544
5990,Rice,Clayey,26,138,23.12,33.3,2.25,1.07,9.24,1.4,44.64,22.73,38.16,2.0,0.968,89.01,0.426,146.59,4,0.373,0,0.0
3172,Maize,Sandy,44,175,25.27,62.27,5.12,3.59,20.46,3.02,26.51,10.87,18.75,2.0,1.014,66.22,0.458,109.08,5,0.577,0,0.0
334,Rice,Sandy,66,291,17.18,36.44,2.82,2.1,13.58,3.58,25.41,10.9,22.86,2.0,1.1,64.59,0.617,130.34,7,0.323,1,13.312
8305,Tomato,Silty,10,11,32.22,80.6,5.84,4.0,23.89,2.79,32.31,16.46,24.22,2.715,0.51,85.26,0.42,93.31,2,0.449,0,0.0
2210,Maize,Loamy,42,305,19.46,64.6,7.44,5.98,28.91,4.95,32.65,17.67,18.66,2.446,0.997,66.34,0.628,157.2,8,0.395,1,559.7111
4271,Rice,Sandy,93,306,18.89,64.52,3.39,2.69,21.1,1.08,24.23,14.43,19.43,2.403,0.855,78.14,0.777,143.84,4,0.501,0,0.0
6740,Maize,Loamy,82,10,23.86,79.79,0.47,0.27,23.56,0.54,32.61,15.83,25.06,2.466,0.908,68.04,0.492,148.13,2,0.424,1,224.6008
233,Wheat,Clayey,56,315,18.52,40.28,1.03,0.48,11.26,1.87,43.45,23.06,27.29,2.0,0.984,61.39,0.56,174.29,5,0.439,1,659.1801
5950,Tomato,Loamy,7,180,17.92,75.78,6.42,6.29,9.77,0.6,30.37,18.05,28.38,2.0,0.447,82.35,0.65,120.27,10,0.383,0,0.0
5737,Maize,Loamy,76,316,34.44,30.56,1.06,0.69,10.62,4.83,38.71,18.43,28.7,2.0,0.974,61.37,0.958,98.24,5,0.349,1,667.7028
7921,Tomato,Sandy,28,276,23.57,88.56,1.81,0.85,10.55,3.75,21.74,13.47,19.29,2.0,0.847,87.55,1.056,152.91,7,0.553,0,0.0
2348,Wheat,Clayey,49,71,26.48,62.7,0.6,0.45,20.03,0.92,41.48,20.71,33.57,2.514,1.042,76.34,0.516,148.06,5,0.551,0,0.0
2036,Rice,Silty,118,172,36.54,46.86,0.65,0.43,27.47,0.94,29.2,13.6,19.45,3.084,0.63,75.61,0.335,133.27,10,0.399,1,166.6161
7484,Rice,Clayey,78,186,20.89,42.09,3.66,1.98,7.7,1.46,39.88,18.88,39.88,2.0,0.991,87.87,0.581,140.2,10,0.415,0,0.0
6006,Wheat,Clayey,38,177,20.63,30.58,0.13,0.07,22.6,4.37,36.84,18.2,23.52,2.62,0.954,83.08,0.421,171.94,4,0.461,1,263.3855
4553,Maize,Loamy,43,62,33.72,54.84,1.27,1.0,28.61,0.69,32.14,17.94,23.5,3.404,1.005,82.11,0.887,148.23,7,0.43,1,388.7074
8072,Tomato,Silty,112,112,23.01,79.69,3.79,2.16,24.28,3.71,29.11,15.16,21.56,2.859,0.63,79.78,0.347,141.39,5,0.515,1,143.427
1458,Rice,Silty,15,100,34.32,76.06,2.71,1.86,11.45,2.73,28.38,12.64,19.97,2.044,0.736,61.41,0.387,86.05,2,0.525,1,210.8018
3288,Rice,Sandy,50,283,30.78,79.85,1.28,0.98,28.95,1.18,26.81,11.11,20.77,2.022,1.16,83.96,0.932,121.08,7,0.566,0,0.0
3064,Rice,Silty,32,74,15.13,67.28,3.21,2.63,26.37,4.0,25.27,14.29,19.17,2.0,1.016,70.83,0.372,168.77,4,0.475,0,0.0
9436,Maize,Silty,49,167,22.38,59.4,1.68,1.3,13.13,1.26,32.1,17.75,22.89,2.831,1.056,67.99,0.446,171.63,4,0.363,1,261.0297
774,Rice,Clayey,65,297,22.83,53.19,3.36,1.65,5.19,4.82,41.45,18.83,24.8,2.18,1.109,83.06,0.373,144.6,9,0.37,1,302.1529
6832,Tomato,Silty,95,341,22.04,81.81,2.08,1.14,13.93,4.89,26.5,13.05,14.47,2.422,0.739,67.08,0.945,119.22,2,0.542,1,740.3804
871,Wheat,Sandy,72,293,35.23,85.73,5.78,4.64,15.83,4.53,29.0,12.59,22.69,2.763,0.808,80.76,0.858,137.26,8,0.581,0,0.0
8749,Maize,Sandy,64,99,37.94,58.78,0.93,0.73,25.09,4.64,20.48,12.5,16.03,3.696,1.106,72.8,0.909,107.39,3,0.319,1,258.5881
1263,Tomato,Clayey,93,52,17.74,71.57,4.35,2.15,24.85,2.93,38.3,21.01,31.96,2.477,0.754,76.98,0.835,130.51,6,0.496,0,0.0
4833,Rice,Sandy,14,64,22.64,65.01,5.94,5.12,18.11,3.66,26.77,10.12,16.61,2.129,0.714,74.37,0.787,81.83,2,0.545,1,395.5629
3894,Wheat,Loamy,3,84,32.33,45.13,5.68,3.56,6.96,3.33,36.35,15.39,22.48,2.0,0.334,72.88,0.355,102.8,6,0.586,1,304.9175
6323,Maize,Loamy,101,17,34.18,89.85,4.98,2.74,20.16,2.84,39.31,15.89,18.97,2.671,0.699,65.22,1.108,145.98,8,0.565,1,1266.0635
9212,Tomato,Clayey,12,308,16.99,81.75,1.37,0.89,14.15,2.88,39.24,19.77,24.74,2.0,0.552,60.35,0.338,164.68,4,0.417,1,318.5962
7019,Rice,Loamy,46,24,37.52,90.93,1.56,1.34,23.74,3.77,37.95,16.59,24.79,2.028,1.128,61.77,0.832,118.56,8,0.352,1,694.4764
1220,Maize,Loamy,89,134,18.34,40.17,0.35,0.22,20.05,1.45,33.2,16.19,18.54,2.504,0.831,89.84,0.724,107.55,10,0.577,0,0.0
1446,Wheat,Silty,96,64,24.92,42.45,3.55,1.72,6.12,4.0,31.19,15.95,25.91,2.0,0.544,78.18,0.862,148.93,8,0.363,0,0.0
3184,Wheat,Sandy,24,241,23.46,72.17,5.83,2.4,26.8,3.94,21.5,12.23,17.62,2.763,0.842,63.92,1.128,108.02,2,0.464,0,0.0
408,Wheat,Loamy,84,27,24.52,37.79,8.14,7.82,5.25,1.63,36.19,19.59,30.83,2.0,0.676,85.33,0.62,125.35,1,0.355,0,0.0
4344,Tomato,Sandy,15,313,28.84,81.27,10.59,9.02,21.86,3.63,21.01,9.19,19.65,2.473,0.615,80.19,0.468,158.77,8,0.572,0,0.0
3021,Rice,Silty,73,18,23.26,55.71,5.19,3.37,16.67,2.11,29.99,14.7,18.14,2.0,1.036,86.93,0.748,91.63,5,0.553,1,419.7521
2303,Maize,Sandy,58,139,34.57,45.29,1.51,1.32,11.41,4.07,21.99,9.91,14.68,2.927,1.133,89.52,0.619,167.9,7,0.454,1,235.2361
6271,Rice,Sandy,65,330,33.07,76.7,1.12,0.52,20.02,2.65,28.84,10.54,12.3,2.642,1.109,66.63,1.126,155.52,8,0.388,1,1080.2422
8280,Tomato,Silty,82,194,30.66,55.01,2.25,1.9,17.55,2.24,30.88,16.34,21.84,2.0,0.84,63.04,0.54,95.63,5,0.479,1,314.1686
6641,Wheat,Loamy,89,355,21.36,69.28,0.55,0.51,11.7,0.7,33.6,15.58,28.51,2.0,0.621,74.74,0.841,159.91,2,0.513,0,0.0
6955,Wheat,Clayey,49,72,31.98,77.0,8.08,4.93,16.59,3.06,43.67,19.19,36.96,2.659,1.042,66.16,0.683,126.19,10,0.591,0,0.0
2109,Rice,Loamy,51,327,18.39,36.92,0.58,0.47,19.63,2.17,36.96,17.41,20.32,2.211,1.168,73.23,1.194,142.75,4,0.382,1,1113.2128
5351,Tomato,Clayey,74,25,30.53,89.55,0.44,0.25,17.34,1.27,38.99,22.56,31.29,2.045,0.902,79.39,0.388,135.81,8,0.472,1,159.7555
9683,Tomato,Clayey,38,27,15.81,55.93,1.71,0.98,21.51,4.94,43.3,18.6,33.51,2.453,0.922,86.75,1.038,132.24,3,0.371,1,514.9147
8343,Rice,Silty,114,183,17.19,62.87,0.2,0.09,28.0,1.64,29.9,12.21,20.42,2.401,0.63,68.71,0.948,101.85,5,0.499,1,536.2775
4549,Wheat,Clayey,82,228,15.83,64.89,0.37,0.26,26.93,3.83,36.78,23.03,34.45,2.128,0.698,70.88,0.792,89.37,4,0.373,0,0.0
1880,Rice,Silty,57,180,35.9,33.9,0.05,0.04,9.31,3.46,25.93,16.67,18.0,2.215,1.182,85.04,0.86,153.28,10,0.325,1,373.2196
5945,Wheat,Sandy,57,125,18.08,89.54,2.19,1.86,9.29,1.5,21.31,12.93,19.29,2.0,0.973,60.27,1.059,154.2,9,0.362,0,0.0
1737,Tomato,Sandy,31,159,29.69,74.62,7.1,6.38,17.4,2.45,24.66,9.56,14.82,3.244,0.87,73.27,1.009,120.67,6,0.335,1,599.8535
7793,Tomato,Silty,41,48,29.22,58.46,1.44,1.35,26.77,4.09,29.18,14.25,25.85,2.368,0.945,63.37,0.441,137.32,3,0.573,0,0.0
5212,Rice,Silty,52,200,16.7,63.02,5.75,2.82,15.1,1.43,33.86,14.24,23.06,2.789,1.176,89.29,0.727,165.72,4,0.578,1,376.4676
3208,Wheat,Loamy,98,351,31.63,40.31,1.85,1.06,29.9,1.98,37.1,19.02,35.43,2.363,0.522,63.51,0.81,96.75,3,0.398,0,0.0
7082,Rice,Loamy,106,347,18.47,80.68,2.15,2.1,22.55,3.6,30.99,19.25,30.99,2.0,0.736,62.37,0.893,117.35,8,0.309,0,0.0
2055,Tomato,Silty,15,89,24.25,78.32,6.31,3.71,16.64,2.8,27.31,15.89,21.06,2.323,0.615,61.68,0.586,123.39,3,0.543,0,0.0
1688,Maize,Clayey,113,108,25.98,51.95,2.24,2.0,20.44,3.53,35.72,23.32,25.08,2.027,0.54,81.39,0.715,134.68,9,0.347,1,350.6466
4779,Wheat,Sandy,45,135,21.14,52.82,9.93,5.46,10.54,3.1,27.49,8.13,11.13,2.456,1.01,78.06,0.352,123.44,2,0.349,1,280.2123
7475,Wheat,Sandy,105,342,23.88,71.31,1.95,1.51,7.26,4.75,22.96,14.6,19.48,2.143,0.45,88.42,0.421,135.69,3,0.54,1,11.114
7876,Maize,Silty,35,73,18.18,69.96,1.85,0.87,12.73,1.96,33.89,12.56,17.05,2.0,0.937,71.37,0.927,154.85,7,0.396,1,931.8211
6749,Tomato,Clayey,91,348,34.6,69.67,2.89,2.06,19.07,1.49,36.75,24.96,36.14,2.708,0.77,82.22,0.719,151.71,4,0.474,0,0.0
8555,Maize,Loamy,96,90,20.93,78.64,2.63,2.43,22.33,2.78,37.37,19.68,25.64,2.0,0.754,86.35,0.678,160.04,2,0.362,1,365.4969
8122,Wheat,Loamy,46,300,16.76,53.25,5.61,5.11,27.54,1.21,31.05,15.56,22.12,2.28,1.018,81.16,0.595,177.53,1,0.339,1,257.7141
6990,Tomato,Silty,102,74,23.89,54.82,2.32,1.32,8.5,4.42,31.05,12.47,26.58,2.0,0.63,77.98,0.553,162.48,8,0.522,0,0.0
8266,Wheat,Silty,39,248,17.03,92.05,3.29,2.23,18.03,1.03,25.37,17.55,25.37,2.0,0.962,64.51,0.759,173.54,6,0.387,0,0.0
8539,Tomato,Clayey,7,122,32.71,31.83,2.01,1.7,27.37,1.63,35.12,20.67,29.37,2.555,0.447,60.15,0.301,160.22,9,0.564,0,0.0
3392,Rice,Sandy,87,210,34.06,76.9,1.59,1.14,19.34,1.68,26.59,13.72,22.85,2.527,0.909,64.96,0.765,87.87,6,0.524,0,0.0
6325,Rice,Loamy,28,244,32.38,44.95,0.54,0.35,14.39,1.18,39.2,18.47,29.99,2.0,0.984,63.69,1.196,90.4,2,0.572,0,0.0
3528,Wheat,Loamy,23,254,19.37,70.7,6.38,4.46,11.81,1.14,34.01,15.18,26.44,2.0,0.834,68.86,0.581,129.14,7,0.59,0,0.0
4604,Rice,Silty,16,150,31.44,44.96,0.64,0.6,19.76,2.29,26.41,14.72,17.73,2.659,0.758,86.49,0.889,165.79,6,0.559,1,390.8863
7023,Maize,Sandy,81,271,37.93,38.47,0.55,0.29,8.22,2.86,22.11,9.38,11.28,2.382,0.919,87.71,1.185,177.37,3,0.394,1,558.4922
6321,Rice,Sandy,91,334,27.52,56.63,0.98,0.75,20.05,3.01,27.86,11.04,25.65,2.247,0.873,81.49,0.861,91.44,7,0.343,0,0.0
745,Rice,Loamy,104,219,35.57,82.11,1.66,1.61,12.05,2.81,36.81,15.26,16.62,2.21,0.755,87.0,0.683,83.49,8,0.378,1,609.5603
710,Tomato,Silty,115,332,20.16,31.24,8.27,6.76,12.68,2.26,32.01,12.84,24.11,2.0,0.63,84.55,0.941,126.76,2,0.349,1,330.5764
379,Maize,Loamy,116,146,34.37,75.22,3.07,2.49,26.41,0.81,37.7,15.7,25.97,3.246,0.54,67.14,0.772,116.9,5,0.356,1,583.7873
8782,Wheat,Loamy,66,251,15.78,81.97,12.43,7.4,26.65,2.67,30.14,17.52,28.72,2.0,0.874,82.58,0.387,127.64,9,0.453,0,0.0
3011,Wheat,Silty,16,169,23.77,44.68,0.73,0.39,24.86,4.19,27.99,17.15,27.99,2.129,0.698,65.42,0.77,123.45,5,0.506,0,0.0
8858,Tomato,Clayey,62,222,15.16,91.37,1.1,1.03,29.48,2.35,43.31,19.15,28.0,2.215,0.996,78.64,1.078,141.01,4,0.421,1,892.4883
7152,Tomato,Sandy,99,74,32.49,63.55,0.49,0.45,26.56,3.73,23.71,14.17,15.33,3.492,0.708,78.67,0.863,115.04,10,0.48,1,374.0598
8566,Rice,Loamy,118,297,26.51,73.96,10.32,4.27,10.86,1.51,31.0,16.9,27.5,2.0,0.63,62.74,0.882,83.1,9,0.548,0,0.0
3497,Tomato,Sandy,62,213,31.71,55.9,0.34,0.29,13.94,3.18,27.77,13.28,25.8,2.653,0.996,66.71,0.976,106.06,5,0.416,0,0.0
3889,Wheat,Loamy,51,190,17.72,66.11,3.1,2.97,18.24,0.94,39.01,19.04,27.81,2.0,1.039,73.1,0.733,137.74,10,0.318,1,434.2817
4484,Tomato,Sandy,80,265,28.46,37.35,0.49,0.49,5.3,3.9,28.99,8.84,14.7,2.949,0.856,88.96,0.71,131.84,8,0.427,1,446.2262
4011,Tomato,Sandy,83,232,19.91,75.54,3.11,2.59,28.92,4.13,21.26,13.31,18.68,3.047,0.832,61.94,0.842,96.14,9,0.378,1,17.2319
2619,Tomato,Sandy,76,102,37.22,35.83,5.51,3.38,11.54,1.05,29.65,14.2,29.34,2.28,0.887,82.24,0.877,121.97,7,0.516,0,0.0
6670,Maize,Sandy,1,65,33.37,30.04,2.2,1.77,24.66,2.39,25.86,14.63,20.7,2.63,0.32,81.15,1.077,172.56,3,0.434,0,0.0
6512,Rice,Silty,111,241,21.34,34.99,3.86,3.07,29.08,1.34,29.4,12.28,20.61,2.654,0.63,69.83,0.753,90.66,2,0.447,1,393.1899
3467,Rice,Silty,17,166,26.17,77.55,3.31,1.96,19.08,2.11,34.05,14.71,20.09,2.0,0.781,76.26,1.141,140.57,1,0.333,1,867.0199
1313,Maize,Loamy,55,217,31.96,51.8,1.38,1.15,16.2,2.32,31.8,17.8,22.77,2.194,1.107,87.6,0.427,161.27,2,0.316,1,185.2749
8605,Wheat,Sandy,97,22,35.79,63.25,0.04,0.02,14.76,3.25,25.35,12.7,21.22,2.96,0.533,71.99,0.866,153.91,3,0.358,1,207.4055
2069,Tomato,Loamy,24,79,24.29,37.47,1.68,1.19,29.4,1.92,39.62,15.91,30.21,2.9,0.804,77.47,0.883,90.48,9,0.427,1,419.7202
2982,Maize,Clayey,114,316,37.66,39.61,3.92,1.93,10.54,1.01,37.13,22.44,27.87,2.0,0.54,65.34,0.754,158.52,2,0.328,0,0.0
5914,Rice,Silty,65,101,18.34,85.77,1.16,1.15,20.6,1.61,27.41,16.65,20.93,2.633,1.109,65.72,1.033,133.52,6,0.371,0,0.0
